Word,Cluster,X,Y,new_cluster
음악,1,25.96983,-0.24176158,16
기분,1,25.710844,-0.32929713,16
전환,1,25.377556,-0.43096545,16
드라이브,19,28.304258,-0.0660178,17
선곡,14,19.710037,-0.23616418,15
오늘,14,19.904144,-0.26126525,15
날,19,29.123768,0.16297075,17
추억,14,22.041655,-0.058665715,15
휴식,1,26.639704,0.063920006,16
국내,14,21.804811,-0.11961102,15
해외,1,27.398888,-0.046679415,16
신,7,30.093681,0.13898061,18
감성,1,25.997126,0.14533666,16
발라드,3,7.613784,-0.6274722,11
여행,1,25.73802,-0.26600838,16
집,1,26.970879,0.005721785,16
산책,8,18.041414,-0.24002868,14
편안,14,22.619595,-0.11291866,15
카페,7,31.001413,0.24156255,18
퇴근길,14,20.14029,-0.41737434,15
출,14,19.948599,-0.1816827,15
가을,8,16.830982,-0.36074427,14
댄스,7,30.516657,-0.05248416,18
여름,1,25.814522,0.10895145,16
가요,8,16.582714,-0.4493085,14
밤,1,25.269224,0.02566948,16
잔잔,14,22.97682,-0.0833925,15
운동,4,12.946796,-0.4474613,13
레이블,19,28.47387,0.22725236,17
봄,14,22.257202,-0.11749871,15
탑,19,28.310797,-0.3367341,17
인기,1,24.544165,0.20039959,16
휴가,14,21.991455,-0.23036921,15
차트,1,25.730026,0.4393684,16
팝,7,30.718237,0.12022625,18
겨울,19,28.385569,0.14216389,17
그루브,1,26.43325,-0.22864889,16
매장,1,25.98025,-0.516592,16
명곡,8,18.451143,-0.5355292,14
회상,4,12.633102,-0.46321356,13
스트레스,19,28.759134,-0.116068766,17
뮤직,1,24.446802,-0.1363387,16
새벽,8,16.147772,-0.21821217,14
따뜻,8,18.699495,-0.2115899,14
그루브한,14,21.317936,-0.13818067,15
오후,1,25.363445,-0.053499267,16
사랑,13,10.301366,-0.4642545,12
인디,13,10.713734,-0.5055015,12
힙합,1,26.79217,-0.009599572,16
헬스,8,17.609533,-0.37340906,14
소울,8,18.946016,-0.25703797,14
저녁,8,17.999863,-0.17104775,14
백,1,25.653763,0.80784136,16
비,4,15.119411,-0.35728335,13
몽환,8,16.766636,-0.23170735,14
이별,17,-2.185323,-0.6704979,7
힐링,19,29.694939,0.07347416,17
행복,19,29.413557,0.07654255,17
공부,10,31.565191,0.45144498,19
노래방,3,7.275086,-0.7444449,11
노동요,8,16.461494,-0.5843449,14
노래,16,3.950723,-0.67901796,10
매혹,4,14.810239,-0.37754032,13
도입부,14,22.738413,-0.07047236,15
달리기,4,14.686735,-0.39158362,13
케이팝,4,12.675626,-0.4614608,13
팝송,7,30.383514,-0.011150721,18
랩,4,11.962404,-0.5234583,13
자전거,19,28.809757,-0.0036837896,17
