Song,Singer,Playlist,Tag,Cluster,mean_cluster,std
#Christmas (Vocal 달소영),피아노의 숲,내일을 기다리는 들뜬 기분과 함께할 플레이리스트,"설렘, 겨울, 인디, 편안한, 출/퇴근길, 따뜻한","[15, 15, 15, 17, 14, 12, 13, 6]",13.375,3.119995993587171
#Twerkit (Explicit Version) (Feat. Nicki Minaj),Busta Rhymes,스우파 과몰입러의 플리 (믓찌다 믓찌다 우뤼언니),"스트릿우먼파이터, 갈라토크쇼, 힙합, 카리스마, 멋짐","[16, 18, 15, 14, 13, 15, 12, 5, 5, 3, 1, 1]",9.833333333333334,6.053006599111625
#seoulcitypopfreestyle,홈보이 (Homeboy) & 원슈타인,여름에도 그루브 타는 플레이리스트,"가요, 2010년대, 산책, 자전거, 맑은날, 밤, 인디, 편안한","[17, 14, 15, 14, 16, 12, 17, 2, 5]",12.444444444444445,5.057691856329352
#불편해 (Feat. 강민희 (미스에스)),렉스디 (REX.D),그루브타고 싶어지는 매력적인 음악,"부드러운, 오늘의선곡, 그루브한, 랩/힙합","[15, 15, 16, 15, 16, 13, 9, 14]",14.125,2.1469455046647083
#첫사랑,볼빨간사춘기,봄을 부르는 인디 TOP100,"봄, 인디, 탑백, TOP100, 인기, 차트","[15, 17, 16, 16, 12, 16, 14, 8]",14.25,2.7726341266023544
'S Wonderful,Ella Fitzgerald,나만 간직하고 싶은 인생영화 속 재즈 명곡들,"집, 맑은날, 행복, 유니버설뮤직","[17, 16, 16, 17, 13, 0]",13.166666666666666,6.039223643997813
'Til You Do Me Right,After 7,분위기에 취해! 내 안의 소울을 깨워 주는 그루비한 플레이리스트,"집, 해외음악, 비오는날, R&B/소울, 그루브한","[16, 17, 16, 16, 16, 15, 14, 13]",15.375,1.2183492931011204
('Cause) I'm Your Girl,S.E.S.,가벼운 산책에 어울리는 탑골가요,"드라이브, 기분전환, 노동요, 추억, 국내음악, 90년대, 노래방, 1990년대, 빅뱅, 가요, 명곡, 자전거, 회상, 밝은","[16, 16, 16, 17, 15, 15, 14, 14, 13, 11, 14, 10, 17, 9, 14, 2, 2, 0, 5, 1, 0]",10.523809523809524,6.012835854348418
(I Love You) For Sentimental Reasons (Alternative Take),Nat King Cole,로맨스 영화의 주인공이 되는 달콤한 음악들,"걷기, 고백, 50대, OST, 오늘의선곡, 발렌타인데이, 영화음악, 해외음악, 달콤한, 집","[16, 15, 15, 16, 16, 16, 12, 9, 7, 10, 14, 2, 7, 4, 1, 0]",10.0,5.667892024377317
(Not) The One,Bebe Rexha,"지금, 가장 달콤하고 매혹적인 플레이리스트","집, 밤, 달콤한, 매혹적인, 오늘의선곡, 부드러운","[15, 15, 16, 16, 13, 12, 9, 2, 0]",10.88888888888889,5.704665623552638
(They Long To Be) Close To You,The Carpenters,"세월이 흘러도 영원할 명곡, LP판 감성의 올드팝","빈티지한, 추억, LP, 탑백, 올드팝, 인기, 카페","[15, 18, 17, 16, 18, 16, 14, 8, 8, 2, 1]",12.090909090909092,5.991729837557847
...Ready For It?,Taylor Swift,자신감 상승곡선 런웨이 TOP100,"런웨이, 탑백, TOP100, 인기, 차트","[17, 16, 16, 16, 14, 8, 1]",12.571428571428571,5.499536158548617
...사랑했잖아...,린,추천 ♬ 잊혀질리 없는 명품 발라드 ♪ No.23,"90년대, 추억, 명곡, 이별, 인기, 도입부, 슬픔, 회상, 탑백, 노래방, 사랑","[15, 17, 16, 14, 13, 12, 16, 7, 11, 10, 15, 8, 9, 14, 8, 2, 1, 0]",10.444444444444445,5.1448164012401
...사랑했잖아...,린 (LYn),[가요] 이 노래 ㄱ나니?,"스타플레이리스트, 국내음악, 랩/힙합, 애절한, 지침/힘듦, 흐린날, TODAY PICK, 이별, 2000년대, POP","[16, 17, 15, 16, 7, 13, 14, 12, 11, 11, 12, 14, 0, 2, 2, 1]",10.1875,5.670303673525784
0 (데이브레이크 이원석 Ver.),페이프 (Pijp),나 홀로 즐기는 플레이리스트 ＃NIGHT,"오늘의선곡, 가요, 추운날, 국내음악, 2010년대, 흐린날","[16, 15, 15, 17, 15, 14, 9, 2]",12.875,4.675401052316261
0310,백예린 (Yerin Baek),섬세한 내 마음에 가을이 오면,"TODAY PICK, 가을, 새벽, 발라드, 가요, 밤","[11, 14, 14, 16, 14]",13.8,1.6
07 Britney,Chelsea Collins,여름 더위 잊게 해줄 블루 레몬에이드처럼 상큼한 playlist,"주말, 시원한, 인기, 감성, 명곡, 힐링, 센치한, 추억, 띵곡, 드라이브, 도입부, 스트레스","[17, 15, 16, 16, 14, 17, 17, 15, 11, 9, 14, 6, 4, 2, 1]",11.6,5.547371750057259
0728,Zoe,오늘 꼭! 들어봐야 할 최신 '인디',"오늘의선곡, 인디, 블루스/포크, 2020년대, 국내음악, weekly choice","[16, 15, 15, 15, 12, 7, 6, 9, 2]",10.777777777777779,4.708804466759354
07월 24일,Zoë Evans,도입부 3초만에 바로 반해버린 인생 팝송 ②,"드라이브, 센치한, 기분전환, 힐링, 스트레스","[16, 16, 17, 17, 17, 14, 5, 1]",12.875,5.861687043846677
0과 1사이,원지 (WONJI),당장 떠나고픈 여름 여행 플레이리스트,"2010년대, 국내음악, 휴가/여행, 댄스, 여름, 가요","[16, 15, 16, 18, 16, 14, 15, 2, 0]",12.444444444444445,6.220237778790403
1 In A Million,ASTRO (아스트로),사이다가 필요 없는 청량 가득 아이돌 플레이리스트,"휴가/여행, 더운날, 여름, 해변, 가요, 기분전환, 드라이브, 국내음악","[16, 16, 16, 17, 17, 15, 16, 16, 14, 15, 8, 14, 5, 0, 1]",12.4,5.678027826631356
"1,000,000 X Better",Griff & HONNE,일상의 텐션으로 스위치 ON!,"맑은날, 신나는, POP, 기분전환, 드라이브, 오늘의선곡","[16, 16, 17, 15, 15, 17, 18, 9, 14, 5, 1, 1]",12.0,6.0553007081949835
"1,2,3,4. (원,투,쓰리,포.)",코요태,추억의 노동요 90-2000년대 신나는 댄스곡,"노동요, 흥겨운, 빅뱅, 스트레스, 운동","[13, 17, 14, 9, 2, 0]",9.166666666666666,6.256108126374486
1/10,브로콜리너마저,"가을이니깐, 들으면서 쉬다 가요","국내음악, 오늘의선곡, 가을, 산책, 추억","[16, 15, 15, 15, 15, 14, 14, 9]",14.125,2.027159342528357
10 MINUTES,이효리,효리네 민박 13회,"TV속음악, 방송","[16, 0, 5, 3]",6.0,6.041522986797286
10 Minutes,이효리,몸이 먼저 반응하는 90년대 2000년대 메가 히트 댄스곡,"노래방, 1990년대, 빅뱅, 추억, 명곡, 드라이브, 댄스, 스트레스","[17, 15, 18, 14, 17, 11, 10, 9, 2, 2, 1]",10.545454545454545,6.110551773384022
10 Things I Hate About You,JXN,언제 들어도 기분 좋아지는 멜로디의 POP,"팝, 기분좋은, 기분업, 행복","[16, 18, 17, 13, 14, 0]",13.0,6.0553007081949835
"10,000 Hours",Dan + Shay,브이로그 재질 브금 TOP100,"어쿠스틱, 차트, 탑백, 도입부","[17, 16, 16, 15, 8, 8]",13.333333333333334,3.815174380753199
"10,000 Hours",Dan ＋ Shay & Justin Bieber,두근두근! 하이틴 영화 감성 팝 플레이리스트,"20대, 기분전환, 워너뮤직, 가을, 10대, 2020년대, 출/퇴근길, 오늘의선곡, 드라이브, 휴식, 오후, 달콤한","[16, 16, 17, 15, 15, 16, 15, 15, 14, 16, 16, 12, 9, 14, 6, 2, 6, 5, 0, 1, 0]",10.761904761904763,5.9992440944851895
100 Degrees,Public Library Commute,언제 들어도 기분 좋아지는 멜로디의 POP,"기분업, 산책, 행복, 카페","[16, 14, 18, 17, 13, 14, 0]",13.142857142857142,5.617029500382142
100 Degrees,Rich Brian,한주의 시작에 생기를 불어줄 신나는 팝!,"집, 해외음악, 오늘의선곡, 출/퇴근길, 봄, 기분전환","[16, 16, 16, 15, 15, 16, 16, 15, 15, 15, 9, 14, 6, 5]",13.5,3.698455275999891
100 Rays,보은,고요하게 여운을 남기는 발라드,"밤, 흐린날, 국내음악, 그리움, 발라드, 집","[16, 17, 15, 11, 16, 16, 9]",14.285714285714286,2.813959371941744
100% 로맨틱,민설,추억이 새록새록 떠오르는 싸이월드 BGM,"싸이월드, 추억의, 브금, 10대","[15, 5, 2, 2, 1]",5.0,5.176871642217914
100%로맨틱,민설,추억이 새록새록 떠오르는 싸이월드 BGM,"싸이월드, 10대, 추억, bgm","[15, 2, 2, 1]",5.0,5.787918451395113
100년 동안의 진심,언니네 이발관,박소은의 '아무도 없는 방에서 혼자 듣고 싶은 음악',"밤, 그리움, 국내음악, 흐린날, 지침/힘듦, 우울, 안개낀날, 휴식","[16, 17, 16, 15, 16, 9, 11, 3, 12, 4, 2]",11.0,5.443929062392679
1024,유피 (UP),X세대 모여라! 이노랠 들으면 기분이 좋거든요~,"설연휴특집, 추억, 드라이브, 국내음악, 휴가/여행, 기분전환","[16, 16, 16, 17, 15, 15, 16, 16, 15, 18, 14, 14, 13, 5, 0, 1]",12.9375,5.459724695440238
10°0' 0° N 118°50 0° E (Feat. ASH ISLAND),김승민,매마른 분위기를 전환시켜주는 감성자극 힙합&알앤비,"저녁, 그루브한, 봄, 국내음악, 출/퇴근길, 밤","[16, 15, 15, 15, 16, 15, 16, 15, 14, 6]",14.3,2.8301943396169813
10월의 날씨,10CM,쌀쌀한 가을 날씨와 함께 들으면 좋을 플레이리스트,"아침, 초가을, 감성, 오늘의선곡, 잔잔한, 휴식, 아련한, 밤, 집, OST, 가요, 새벽","[15, 15, 16, 16, 16, 14, 14, 16, 15, 14, 15, 2, 9, 3, 0]",12.0,5.4528280124476085
10월의 어느 멋진 날에,김동규,매년 가을이면 떠오르는 아련한 감성의 Music ♪,"가을, 드라이브, 추억, 감성, 감성발라드","[17, 15, 16, 11, 14, 1]",12.333333333333334,5.405758246742285
11 (ELEVEN) HITCHHIKER REMIX,Hitchhiker,몽환의 세계로 빠지게 할 신스팝!,"출/퇴근길, 국내음악, 2010년대, 그루브한, 몽환적인, 드라이브","[16, 17, 15, 15, 15, 16, 15, 14, 6, 2, 2, 1]",11.166666666666666,6.0941684329274075
11 in morning,오왼 (Owen),센치한 무드로 즐기는 감성힙합,"밤, 드라이브, 매혹적인, 그루브한, 가요, 20대, 랩/힙합","[17, 14, 16, 16, 15, 16, 13, 13, 14, 2, 2, 1]",11.583333333333334,5.851756621353587
11:11,태연 (TAEYEON),"가을이니깐, 들으면서 쉬다 가요","탑백, 사랑, 노랫말을듣는다, 좋아요10만, 흐린날, 카페, 감성, 명품, 회상, 국내음악, 기분전환, 어쿠스틱, 이별, 가요, 아련한, 캠핑, 노래방, 겨울, 초가을, 산책, TOP100","[16, 16, 16, 17, 15, 16, 14, 18, 14, 14, 17, 17, 13, 12, 16, 7, 11, 10, 5, 2, 3, 6, 14, 8, 8, 0, 5, 0, 1, 0]",10.366666666666667,5.963686406540467
11°,방민아 (Bang Minah),매년 가을이면 떠오르는 아련한 감성의 Music ♪,"드라이브, 가을, 감성발라드, 추억, OST","[17, 15, 16, 11, 14, 1]",12.333333333333334,5.405758246742285
11월27일 (Feat. Jane),dress,매마른 분위기를 전환시켜주는 감성자극 힙합&알앤비,"기분전환, 랩/힙합, 밤, 집, 봄, 출/퇴근길","[16, 16, 16, 15, 15, 16, 15, 16, 13, 14, 14, 6, 5]",13.615384615384615,3.584978522378783
12 : 45 (Stripped),etham,추운 겨울 방구석에 틀어놓기 좋은 따뜻한 팝송,"스페셜추천, 편안한, 따뜻한, 겨울, 기분전환, 유니버설뮤직","[16, 16, 15, 17, 16, 14, 19, 16, 14, 13, 5, 0]",13.416666666666666,5.203497755249721
12:00,환상약국 (Fantastic Drugstore),"여름날, 푸른 새벽부터 눈부신 밤까지의 음악들","기분전환, 집, 매혹적인, 가요, 맑은날, 2010년대, 오늘의선곡, 흐린날, 휴식, 밤","[16, 16, 15, 15, 17, 16, 16, 14, 16, 13, 9, 14, 2, 5, 2]",12.4,5.083306010855534
12:45 (Stripped),Etham,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"산책, 인기, 좋아요10만, 팝탑백, 탑백, 휴식, 차트, 회상, 스트레스, 드라이브, 우울, 가을, 도입부, 장르탑백","[17, 16, 14, 14, 17, 16, 16, 18, 13, 17, 16, 15, 14, 10, 4, 8, 1, 1, 0]",11.947368421052632,5.924735696619069
"12:45 (말하고 싶은 비밀 X 김승민, Cosmic Boy)",김승민,밤에 듣기 좋은 감성 국힙 Playlist,"국내힙합, 이어폰, 그루브, 산책, 기분전환","[16, 16, 15, 14, 16, 16, 14, 14, 2, 5, 1]",11.727272727272727,5.674358739755358
12시 30분,비스트,00년대생들의 심금을 울리는 2.5세대 아이돌 명곡,"노래방, 스트레스, 봄, 드라이브, 아이돌","[17, 15, 17, 11, 10, 14, 1]",12.142857142857142,5.1941882750565265
12월,김산,내일을 기다리는 들뜬 기분과 함께할 플레이리스트,"오늘의선곡, 따뜻한, 설렘, 국내음악, 가요, 인디","[16, 15, 15, 15, 14, 14, 12, 9, 13]",13.666666666666666,2.0
12월 24일,디어 (d.ear),설레는 크리스마스에 빠질 수 없는 K-캐롤 베스트 에디션,"크리스마스, 카페, 겨울, 캐롤, 연말","[18, 17, 17, 12]",16.0,2.345207879911715
12월 32일,별,90년대생들이 MP3에 넣고 다녔던 여자 발라드,"이별, 기분전환, 겨울, 스트레스, 레트로, MP3, 싸이, 발라드, 감성, 쓸쓸한, 성시경","[16, 16, 16, 11, 17, 17, 7, 14, 3, 5, 2, 1]",10.416666666666666,6.116348765580836
12월32일,별,지금 걷고 있는 산책로의 끝엔 코인노래방이 있다,"가을, 걷기, 애절한, 그리움, 국내음악, 추억, 이별, 발라드","[16, 15, 15, 11, 14, 7, 9, 7, 14, 0, 1]",9.909090909090908,5.384397416349399
12월의 기적 (Miracles In December),EXO,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"드라이브, 매장음악, 기분전환, 신나는, 캐롤, 성탄절, TOP100, 탑백","[16, 16, 16, 17, 18, 17, 16, 16, 14, 8, 4, 5, 1, 1]",11.785714285714286,6.212643461161295
13,LANY,당신을 감싸줄 매혹적인 음악,"오늘의선곡, 그루브한, 카페, 저녁, 새벽, TODAY PICK, 일/공부, 편안한, 휴식, 드라이브, R&B/소울, 오후, 겨울, 따뜻한","[17, 15, 15, 16, 15, 18, 17, 16, 14, 14, 15, 16, 14, 14, 19, 16, 9, 1]",14.5,3.8622100754188224
1501,Dinah Jane,가볍게 즐기는 그루브한 POP 플레이리스트,"휴식, 오늘의선곡, 봄, 그루브한, POP, 해외음악","[16, 15, 15, 16, 16, 15, 16, 15, 9]",14.777777777777779,2.096440251568134
1517,The Whitest Boy Alive,발걸음을 신나게! 리드미컬 팝 플레이리스트,"휴가/여행, 출/퇴근길, 오늘의선곡, 신나는, 그루브한, 해외음악, 댄서블한","[16, 15, 15, 16, 18, 16, 15, 15, 15, 16, 15, 14, 9, 6, 8, 0, 1]",12.352941176470589,5.324098117169299
15th Floor,PREP,오늘 기분 맑음✨,"오늘의선곡, 맑은날, 오후, POP, 해외음악, 산책","[16, 15, 15, 17, 16, 14, 16, 9]",14.75,2.331844763272204
16 Shots,Stefflon Don,[스우파] 스트릿우먼파이터에 나온 노래들! - 지속 업데이트!,"차트, TOP100, 스맨파, 멋짐, dance, 스트릿우먼, 런웨이, 스우파, OST","[16, 18, 15, 10, 5, 5, 1]",10.0,6.047431568147635
180도,벤,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"감성, 벅차오르는, 발라드, 좋아요10만, 새벽에, 회상","[16, 11, 13, 14, 0]",10.8,5.635601121442148
1950,King Princess,잠 안 오는 밤에 듣기 좋은 잔잔한 플레이리스트,"산책, 부드러운, 휴식, 집, 오늘의선곡, POP","[15, 15, 16, 16, 14, 9]",14.166666666666666,2.4094720491334933
"1991年, 찬바람이 불던 밤....",박효신,추천 ♬ 리뉴얼 준비중♪ No.00,"기분전환, 스토리가_있는_노래, ralalra, 발라드, 감성","[16, 16, 16, 11, 10, 14, 1, 5]",11.125,5.2544623892459255
1994년 어느 늦은 밤,장혜진,마음을 울리는 90년대 발라드 명곡,"드라이브, 발라드, 기분전환, 명품발라드, 감성적인","[16, 16, 17, 16, 11, 5, 14, 5, 2, 1]",10.3,6.067124524847006
1995,The Radio Dept.,눈 내린 겨울 아침의 포근함을 담은 노래❄,"위로, 인디, 휴식, 따뜻한, 2000년대, TODAY PICK, 집, 산책, 2010년대, 몽환적인","[16, 16, 14, 14, 12, 14, 9, 2, 1, 2]",10.0,5.779273310719955
1999,Charli XCX & Troye Sivan,부쩍 따뜻해진 날씨에 듣는 기분전환 플레이리스트,"2010년대, 봄, 2020년대레이블 PICK, 드라이브, 힘찬, 밝은, 휴가/여행, 설연휴특집, 오늘의선곡","[17, 15, 15, 16, 16, 17, 15, 15, 18, 9, 14, 13, 2, 2, 0, 1]",11.5625,6.274638933835157
1999,John K,일상의 텐션으로 스위치 ON!,"신나는, 오후, 출/퇴근길, 드라이브, 맑은날, 해외음악","[16, 17, 17, 16, 18, 15, 15, 16, 6, 1, 1]",12.545454545454545,6.228433866531142
1TYM,원타임 (1TYM),X세대 모여라! 이노랠 들으면 기분이 좋거든요~,"가요, 추억, 기분전환, 90년대, 드라이브, 국내음악","[16, 16, 16, 17, 15, 15, 14, 14, 2, 5, 1]",11.909090909090908,5.791130294048359
1년 365일 (Feat. 거미),바이브,추천 ♬ 잊혀질리 없는 명품 발라드 ♪ No.23,"추억, 명품, 슬픔, 사랑, 노랫말을듣는다","[15, 12, 8, 5, 6]",9.2,3.7629775444453557
1도 없어,Apink (에이핑크),내리쬐는 태양아래 이열치열 댄스뮤직!,"2010년대, 밤, 신나는, 더위, 오늘의선곡, 댄스, 기분전환, 더운날","[16, 16, 15, 15, 17, 18, 18, 16, 11, 9, 9, 14, 2, 5, 1]",12.133333333333333,5.51200709562517
1분 1초 (Feat. 타루),에픽하이 (EPIK HIGH),추억이 새록새록 떠오르는 싸이월드 BGM,"추억의, 10대, bgm, 브금","[15, 5, 2]",7.333333333333333,5.557777333511022
1＋1,나상현씨밴드,오늘 꼭! 들어봐야 할 최신 '인디',"국내음악, 오늘의선곡, 20대, 기분전환, TODAY PICK, 드라이브, 휴가/여행, 시원한, 30대, 2020년대","[16, 16, 16, 17, 15, 15, 15, 16, 15, 11, 9, 14, 2, 5, 2, 0, 1]",10.882352941176471,6.09611595672076
1＋1=0 (Feat. DEAN),SURAN (수란),스타플레이리스트 : 느와르의 '운동할 때 들으면 좋은 음악!',"2010년대, 스타플레이리스트, 운동, 드라이브, 오후","[17, 13, 16, 14, 12, 11, 2, 1]",10.75,5.651327277728657
2 Times (Feat. Mauley G) (Prod. by DJ Pain 1),Ted Park,지친 수요일을 깨워줄 플레이리스트,"오후, 그루브한, 오늘의선곡, 휴가/여행, 랩/힙합, 2010년대","[15, 15, 16, 15, 16, 15, 16, 16, 13, 9, 14, 2, 0]",12.461538461538462,5.2273744640098485
2 U (Feat. Anthony Pavel),Pink Slip,맥주 한잔하며 느긋하게 듣는 플레이리스트,"신나는, 출/퇴근길, 드라이브, 기분전환, 봄, 휴식, 시원한, 자전거, 댄서블한, 휴가/여행, 몽환적인, 오후","[16, 16, 17, 16, 18, 16, 15, 15, 15, 15, 16, 14, 17, 14, 11, 14, 6, 8, 5, 2, 2, 0, 1, 1]",11.25,6.08447477875727
2 Weeks,아슬 (Aseul),긴장된 하루속 작은 여유를 선사할 플레이리스트,"국내음악, 오늘의선곡, 편안한, R&B/소울","[16, 15, 15, 15, 15, 14, 9]",14.142857142857142,2.166535841157586
2 people,Rowan Drake,"선선해진 가을 날씨 즐기는, ISFJ의 감성팝 PLAYLIST ᕷ","센치한, 산책, 힐링, mbti, 잔잔한","[14, 15, 17]",15.333333333333334,1.247219128924647
2. Andante,Nicola Benedetti,모든 공간을 독서실로 만든다!,"아침, 유니버설뮤직, 잔잔한, 스페셜추천","[15, 16, 19, 15, 16, 13, 0]",13.428571428571429,5.728553615932406
20 Minutes,Years & Years,도입부터 너무 좋아! 호불호 안갈리는 팝송 ♪,"외출, 도입부, Pop, 편안한, 드라이브","[17, 15, 15, 15, 11, 1]",12.333333333333334,5.374838498865699
200%,AKMU (악뮤),○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"좋아요10만, 차트, TOP100, 탑백, 회상","[17, 16, 13, 16, 8, 0]",11.666666666666666,6.018490028422596
